TimePeriod,GeoType,GeoID,GeoRank,Geography,Number,Percent
2021,UHF34,407,3,Southwest Queens,"23,000","10.6 (5.8, 18.5)"
2021,UHF34,408,3,Jamaica,"16,000*","6.8* (2.8, 15.9)"
2021,UHF34,409,3,Southeast Queens,"3,000*","1.7* (0.5, 5.9)"
2021,UHF34,410,3,Rockaways,"7,000*","7.9* (4.0, 15.0)"
2021,UHF34,305307,3,Upper East Side-Gramercy,"19,000*","6.5* (3.2, 12.7)"
2021,UHF34,306308,3,Chelsea-Village  ,"12,000*","5.9* (3.0, 11.1)"
2021,UHF34,309310,3,Union Square-Lower Manhattan,"15,000","7.7 (4.5, 12.8)"
2021,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,"13,000*","9.1* (4.9, 16.4)"
2021,UHF34,501502,3,Northern SI,"19,000","13.2 (7.7, 21.7)"
2021,UHF34,503504,3,Southern SI,"32,000","14.4 (9.5, 21.3)"
2021,UHF34,105106107,3,South Bronx,"60,000","15.4 (11.0, 21.2)"
2021,Borough,1,1,Bronx,"109,000","10.7 (8.5, 13.3)"
2021,Borough,2,1,Brooklyn,"223,000","11.6 (9.9, 13.5)"
2021,Borough,3,1,Manhattan,"82,000","6.2 (4.7, 8.1)"
2021,Borough,4,1,Queens,"125,000","7.1 (5.5, 9.0)"
2021,Borough,5,1,Staten Island,"51,000","14.0 (10.0, 19.1)"
2021,Citywide,1,0,New York City,"591,000","9.2 (8.3, 10.2)"
2020,UHF34,101,3,Kingsbridge - Riverdale,**,**
2020,UHF34,102,3,Northeast Bronx,"18,000","12.7 (7.1, 21.9)"
2020,UHF34,103,3,Fordham - Bronx Pk,"29,000","15.8 (10.3, 23.4)"
2020,UHF34,104,3,Pelham - Throgs Neck,"31,000","13.7 (9.2, 19.9)"
2020,UHF34,201,3,Greenpoint,"13,000*","12.9* (6.8, 23.2)"
2020,UHF34,202,3,Downtown - Heights - Slope,"20,000","11.1 (6.5, 18.4)"
2020,UHF34,203,3,Bedford Stuyvesant - Crown Heights,"27,000","11.2 (7.7, 15.9)"
2020,UHF34,204,3,East New York,"14,000","10.7 (6.4, 17.4)"
2020,UHF34,205,3,Sunset Park,"9,000","8.7 (4.9, 15.1)"
2020,UHF34,206,3,Borough Park,"28,000","11.9 (7.8, 17.8)"
2020,UHF34,207,3,East Flatbush - Flatbush,"17,000","7.6 (4.7, 12.1)"
2020,UHF34,208,3,Canarsie - Flatlands,"14,000*","9.4* (4.5, 18.3)"
2020,UHF34,209,3,Bensonhurst - Bay Ridge,"18,000","11.0 (6.4, 18.2)"
2020,UHF34,210,3,Coney Island - Sheepshead Bay,"34,000","14.9 (10.2, 21.3)"
2020,UHF34,211,3,Williamsburg - Bushwick,"20,000","13.5 (8.3, 21.0)"
2020,UHF34,301,3,Washington Heights,"23,000","11.8 (7.0, 19.2)"
2020,UHF34,302,3,Central Harlem - Morningside Heights,"10,000","8.4 (4.9, 14.0)"
2020,UHF34,303,3,East Harlem,"8,000*","10.5* (5.1, 20.4)"
2020,UHF34,304,3,Upper West Side,**,**
2020,UHF34,401,3,Long Island City - Astoria,"24,000","14.5 (8.3, 24.0)"
2020,UHF34,402,3,West Queens,"33,000","8.9 (5.6, 13.9)"
2020,UHF34,403,3,Flushing - Clearview,"14,000","6.5 (3.6, 11.6)"
2020,UHF34,405,3,Ridgewood - Forest Hills,"21,000","10.4 (6.2, 17.0)"
2020,UHF34,407,3,Southwest Queens,"15,000*","7.5* (4.0, 13.8)"
2020,UHF34,408,3,Jamaica,"22,000*","10.4* (4.8, 21.0)"
2020,UHF34,409,3,Southeast Queens,"19,000*","12.3* (5.9, 23.9)"
2020,UHF34,410,3,Rockaways,"8,000*","9.4* (3.6, 22.6)"
2020,UHF34,305307,3,Upper East Side-Gramercy,"24,000","7.8 (4.5, 13.2)"
2020,UHF34,306308,3,Chelsea-Village  ,"13,000","6.1 (3.4, 10.8)"
2020,UHF34,309310,3,Union Square-Lower Manhattan,"18,000","8.5 (5.2, 13.7)"
2020,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,"9,000","6.3 (3.5, 11.0)"
2020,UHF34,501502,3,Northern SI,"27,000","18.8 (11.1, 30.2)"
2020,UHF34,503504,3,Southern SI,"43,000","19.7 (13.5, 27.7)"
2020,UHF34,105106107,3,South Bronx,"55,000","14.4 (10.6, 19.4)"
2020,Borough,1,1,Bronx,"139,000","13.6 (11.1, 16.4)"
2020,Borough,2,1,Brooklyn,"219,000","11.3 (9.8, 13.0)"
2020,Borough,3,1,Manhattan,"106,000","8.0 (6.4, 10.1)"
2020,Borough,4,1,Queens,"171,000","9.7 (7.9, 11.9)"
2020,Borough,5,1,Staten Island,"71,000","19.4 (14.3, 25.8)"
2020,Citywide,1,0,New York City,"706,000","11.0 (10.1, 12.0)"
2019,UHF34,101,3,Kingsbridge - Riverdale,"6,000*","8.9* (4.3, 17.7)"
2019,UHF34,102,3,Northeast Bronx,"13,000","8.7 (4.8, 15.4)"
2019,UHF34,103,3,Fordham - Bronx Pk,"28,000","16.0 (9.5, 25.8)"
2019,UHF34,104,3,Pelham - Throgs Neck,"42,000","18.2 (12.9, 25.0)"
2019,UHF34,201,3,Greenpoint,"11,000*","10.6* (4.6, 22.9)"
2019,UHF34,202,3,Downtown - Heights - Slope,"15,000","8.5 (5.6, 12.8)"
2019,UHF34,203,3,Bedford Stuyvesant - Crown Heights,"37,000","15.1 (10.4, 21.6)"
2019,UHF34,204,3,East New York,"13,000*","9.8* (5.3, 17.4)"
2019,UHF34,205,3,Sunset Park,"20,000*","20.0* (10.6, 34.5)"
2019,UHF34,206,3,Borough Park,"13,000","5.5 (3.2, 9.3)"
2019,UHF34,207,3,East Flatbush - Flatbush,"13,000","5.5 (3.3, 9.0)"
2019,UHF34,208,3,Canarsie - Flatlands,"15,000*","10.0* (4.8, 19.5)"
2019,UHF34,209,3,Bensonhurst - Bay Ridge,"16,000","9.9 (5.7, 16.5)"
2019,UHF34,210,3,Coney Island - Sheepshead Bay,"34,000","14.6 (9.2, 22.4)"
2019,UHF34,211,3,Williamsburg - Bushwick,"32,000","21.2 (13.4, 31.8)"
2019,UHF34,301,3,Washington Heights,"19,000*","9.3* (4.7, 17.6)"
2019,UHF34,302,3,Central Harlem - Morningside Heights,"18,000","14.4 (7.8, 25.0)"
2019,UHF34,303,3,East Harlem,"21,000*","26.3* (15.6, 40.7)"
2019,UHF34,304,3,Upper West Side,"11,000*","5.8* (2.9, 11.2)"
2019,UHF34,401,3,Long Island City - Astoria,"21,000","12.3 (7.5, 19.5)"
2019,UHF34,402,3,West Queens,"28,000","7.6 (4.6, 12.5)"
2019,UHF34,403,3,Flushing - Clearview,"26,000*","12.5* (6.3, 23.2)"
2019,UHF34,405,3,Ridgewood - Forest Hills,"19,000","9.4 (5.2, 16.4)"
2019,UHF34,407,3,Southwest Queens,"26,000","12.6 (8.0, 19.2)"
2019,UHF34,408,3,Jamaica,"27,000","12.7 (7.3, 21.0)"
2019,UHF34,409,3,Southeast Queens,"14,000*","8.9* (4.2, 18.0)"
2019,UHF34,410,3,Rockaways,"13,000*","17.0* (8.1, 32.3)"
2019,UHF34,305307,3,Upper East Side-Gramercy,"26,000","8.3 (5.1, 13.2)"
2019,UHF34,306308,3,Chelsea-Village  ,"16,000*","7.8* (3.8, 15.1)"
2019,UHF34,309310,3,Union Square-Lower Manhattan,"17,000*","8.0* (4.3, 14.3)"
2019,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,"13,000*","9.0* (4.6, 16.9)"
2019,UHF34,501502,3,Northern SI,"28,000","19.8 (12.1, 30.7)"
2019,UHF34,503504,3,Southern SI,"32,000","15.1 (9.7, 22.7)"
2019,UHF34,105106107,3,South Bronx,"79,000","20.3 (15.2, 26.5)"
2019,Borough,1,1,Bronx,"174,000","16.7 (13.9, 20.0)"
2019,Borough,2,1,Brooklyn,"225,000","11.6 (9.8, 13.6)"
2019,Borough,3,1,Manhattan,"127,000","9.6 (7.6, 12.0)"
2019,Borough,4,1,Queens,"187,000","10.5 (8.6, 12.7)"
2019,Borough,5,1,Staten Island,"61,000","16.7 (12.1, 22.7)"
2019,Citywide,1,0,New York City,"775,000","12.0 (11.0, 13.1)"
2018,UHF34,101,3,Kingsbridge - Riverdale,"13,000*","17.3* (9.5, 29.6)"
2018,UHF34,102,3,Northeast Bronx,"9,000*","6.1* (3.1, 11.4)"
2018,UHF34,103,3,Fordham - Bronx Pk,"29,000","15.6 (9.9, 23.7)"
2018,UHF34,104,3,Pelham - Throgs Neck,"36,000","14.8 (10.5, 20.4)"
2018,UHF34,201,3,Greenpoint,"6,000*","5.7* (2.2, 13.8)"
2018,UHF34,202,3,Downtown - Heights - Slope,"25,000","13.7 (8.7, 20.8)"
2018,UHF34,203,3,Bedford Stuyvesant - Crown Heights,"42,000","16.7 (12.1, 22.6)"
2018,UHF34,204,3,East New York,"20,000","14.1 (7.7, 24.4)"
2018,UHF34,205,3,Sunset Park,"18,000","18.0 (11.5, 27.0)"
2018,UHF34,206,3,Borough Park,"27,000","10.8 (7.3, 15.7)"
2018,UHF34,207,3,East Flatbush - Flatbush,"21,000","8.7 (5.3, 13.9)"
2018,UHF34,208,3,Canarsie - Flatlands,"14,000*","9.0* (4.4, 17.7)"
2018,UHF34,209,3,Bensonhurst - Bay Ridge,"26,000","16.0 (11.3, 22.3)"
2018,UHF34,210,3,Coney Island - Sheepshead Bay,"34,000","14.6 (10.1, 20.7)"
2018,UHF34,211,3,Williamsburg - Bushwick,"20,000","12.7 (7.9, 19.8)"
2018,UHF34,301,3,Washington Heights,"31,000","14.8 (9.6, 22.1)"
2018,UHF34,302,3,Central Harlem - Morningside Heights,"23,000","18.1 (11.6, 27.1)"
2018,UHF34,303,3,East Harlem,"11,000","12.7 (7.5, 20.7)"
2018,UHF34,304,3,Upper West Side,"11,000*","6.1* (2.9, 12.5)"
2018,UHF34,401,3,Long Island City - Astoria,"28,000","15.6 (9.0, 25.7)"
2018,UHF34,402,3,West Queens,"36,000","9.4 (6.4, 13.7)"
2018,UHF34,403,3,Flushing - Clearview,"29,000","13.9 (7.7, 24.0)"
2018,UHF34,405,3,Ridgewood - Forest Hills,"21,000","9.8 (6.2, 15.4)"
2018,UHF34,407,3,Southwest Queens,"26,000","12.3 (8.2, 17.9)"
2018,UHF34,408,3,Jamaica,"29,000","12.9 (7.5, 21.4)"
2018,UHF34,409,3,Southeast Queens,"15,000","9.4 (5.6, 15.6)"
2018,UHF34,410,3,Rockaways,"11,000","12.8 (7.1, 22.0)"
2018,UHF34,305307,3,Upper East Side-Gramercy,"34,000","10.7 (7.0, 16.0)"
2018,UHF34,306308,3,Chelsea-Village  ,"26,000","12.5 (7.4, 20.5)"
2018,UHF34,309310,3,Union Square-Lower Manhattan,"28,000","12.8 (7.7, 20.6)"
2018,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,"17,000","11.2 (6.8, 17.8)"
2018,UHF34,501502,3,Northern SI,"30,000*","21.4* (12.7, 33.7)"
2018,UHF34,503504,3,Southern SI,"33,000","15.5 (10.0, 23.1)"
2018,UHF34,105106107,3,South Bronx,"68,000","16.5 (13.2, 20.6)"
2018,Borough,1,1,Bronx,"160,000","14.9 (12.6, 17.4)"
2018,Borough,2,1,Brooklyn,"253,000","12.7 (11.1, 14.5)"
2018,Borough,3,1,Manhattan,"164,000","12.1 (10.0, 14.5)"
2018,Borough,4,1,Queens,"217,000","11.7 (9.9, 13.8)"
2018,Borough,5,1,Staten Island,"63,000","17.3 (12.4, 23.7)"
2018,Citywide,1,0,New York City,"857,000","12.9 (11.9, 13.9)"
2017,UHF34,101,3,Kingsbridge - Riverdale,"10,000*","14.0* (7.5, 24.6)"
2017,UHF34,102,3,Northeast Bronx,"15,000","10.5 (6.4, 16.8)"
2017,UHF34,103,3,Fordham - Bronx Pk,"21,000","11.0 (7.2, 16.2)"
2017,UHF34,104,3,Pelham - Throgs Neck,"38,000","16.0 (11.0, 22.5)"
2017,UHF34,201,3,Greenpoint,"12,000","11.5 (6.9, 18.7)"
2017,UHF34,202,3,Downtown - Heights - Slope,"21,000","11.8 (7.9, 17.2)"
2017,UHF34,203,3,Bedford Stuyvesant - Crown Heights,"46,000","18.9 (14.2, 24.6)"
2017,UHF34,204,3,East New York,"23,000","17.1 (11.9, 24.0)"
2017,UHF34,205,3,Sunset Park,"16,000","15.7 (10.8, 22.4)"
2017,UHF34,206,3,Borough Park,"24,000","9.8 (6.5, 14.6)"
2017,UHF34,207,3,East Flatbush - Flatbush,"25,000","10.4 (7.0, 15.2)"
2017,UHF34,208,3,Canarsie - Flatlands,"16,000","10.6 (6.7, 16.4)"
2017,UHF34,209,3,Bensonhurst - Bay Ridge,"20,000","11.7 (7.1, 18.6)"
2017,UHF34,210,3,Coney Island - Sheepshead Bay,"37,000","15.6 (11.4, 20.9)"
2017,UHF34,211,3,Williamsburg - Bushwick,"30,000","18.6 (12.9, 26.0)"
2017,UHF34,301,3,Washington Heights,"25,000","12.0 (7.8, 18.1)"
2017,UHF34,302,3,Central Harlem - Morningside Heights,"21,000","17.2 (11.2, 25.4)"
2017,UHF34,303,3,East Harlem,"15,000*","18.2* (10.2, 30.4)"
2017,UHF34,304,3,Upper West Side,"24,000","12.8 (7.3, 21.4)"
2017,UHF34,401,3,Long Island City - Astoria,"25,000*","13.7* (7.4, 24.0)"
2017,UHF34,402,3,West Queens,"41,000","10.9 (7.7, 15.3)"
2017,UHF34,403,3,Flushing - Clearview,"41,000","18.4 (12.4, 26.4)"
2017,UHF34,405,3,Ridgewood - Forest Hills,"23,000","11.1 (7.4, 16.4)"
2017,UHF34,407,3,Southwest Queens,"27,000","13.1 (8.5, 19.6)"
2017,UHF34,408,3,Jamaica,"25,000","11.4 (7.0, 18.2)"
2017,UHF34,409,3,Southeast Queens,"10,000*","6.6* (3.4, 12.2)"
2017,UHF34,410,3,Rockaways,"14,000","17.5 (10.9, 26.7)"
2017,UHF34,305307,3,Upper East Side-Gramercy,"25,000","7.9 (4.5, 13.3)"
2017,UHF34,306308,3,Chelsea-Village  ,"23,000*","11.2* (6.0, 20.1)"
2017,UHF34,309310,3,Union Square-Lower Manhattan,"27,000","12.8 (7.9, 20.0)"
2017,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,"17,000","11.2 (6.1, 19.7)"
2017,UHF34,501502,3,Northern SI,"28,000","19.2 (12.9, 27.6)"
2017,UHF34,503504,3,Southern SI,"57,000","26.3 (19.0, 35.3)"
2017,UHF34,105106107,3,South Bronx,"57,000","14.2 (11.2, 18.0)"
2017,Borough,1,1,Bronx,"145,000","13.7 (11.6, 16.1)"
2017,Borough,2,1,Brooklyn,"270,000","13.7 (12.2, 15.3)"
2017,Borough,3,1,Manhattan,"161,000","12.0 (9.9, 14.6)"
2017,Borough,4,1,Queens,"224,000","12.4 (10.6, 14.4)"
2017,Borough,5,1,Staten Island,"86,000","23.6 (18.3, 29.8)"
2017,Citywide,1,0,New York City,"886,000","13.5 (12.6, 14.6)"
2016,UHF34,101,3,Kingsbridge - Riverdale,"10,000*","13.2* (6.5, 24.8)"
2016,UHF34,102,3,Northeast Bronx,"15,000","9.6 (6.0, 14.9)"
2016,UHF34,103,3,Fordham - Bronx Pk,"26,000","13.7 (9.9, 18.6)"
2016,UHF34,104,3,Pelham - Throgs Neck,"40,000","17.0 (12.3, 22.9)"
2016,UHF34,201,3,Greenpoint,"15,000","15.3 (8.4, 26.1)"
2016,UHF34,202,3,Downtown - Heights - Slope,"25,000","13.6 (8.2, 21.6)"
2016,UHF34,203,3,Bedford Stuyvesant - Crown Heights,"33,000","13.3 (10.1, 17.3)"
2016,UHF34,204,3,East New York,"13,000","9.2 (5.9, 14.3)"
2016,UHF34,205,3,Sunset Park,"12,000","12.2 (7.8, 18.6)"
2016,UHF34,206,3,Borough Park,"29,000","12.0 (7.8, 18.0)"
2016,UHF34,207,3,East Flatbush - Flatbush,"13,000","5.6 (3.4, 9.1)"
2016,UHF34,208,3,Canarsie - Flatlands,"18,000*","11.4* (6.0, 20.6)"
2016,UHF34,209,3,Bensonhurst - Bay Ridge,"23,000","14.0 (8.8, 21.3)"
2016,UHF34,210,3,Coney Island - Sheepshead Bay,"35,000","14.6 (10.4, 20.1)"
2016,UHF34,211,3,Williamsburg - Bushwick,"25,000","16.3 (11.2, 23.0)"
2016,UHF34,301,3,Washington Heights,"29,000","14.1 (8.1, 23.2)"
2016,UHF34,302,3,Central Harlem - Morningside Heights,"12,000","9.9 (5.7, 16.8)"
2016,UHF34,303,3,East Harlem,"21,000*","25.8* (16.8, 37.5)"
2016,UHF34,304,3,Upper West Side,"13,000*","7.2* (3.6, 13.8)"
2016,UHF34,401,3,Long Island City - Astoria,"36,000","20.0 (13.4, 28.7)"
2016,UHF34,402,3,West Queens,"56,000","14.6 (10.9, 19.2)"
2016,UHF34,403,3,Flushing - Clearview,"27,000","12.3 (7.7, 19.2)"
2016,UHF34,405,3,Ridgewood - Forest Hills,"20,000","9.8 (6.2, 15.1)"
2016,UHF34,407,3,Southwest Queens,"26,000","12.3 (8.7, 17.1)"
2016,UHF34,408,3,Jamaica,"29,000","13.0 (8.2, 20.2)"
2016,UHF34,409,3,Southeast Queens,"17,000*","10.8* (4.2, 25.0)"
2016,UHF34,410,3,Rockaways,"15,000","18.4 (11.3, 28.3)"
2016,UHF34,305307,3,Upper East Side-Gramercy,"26,000","8.3 (4.7, 14.4)"
2016,UHF34,306308,3,Chelsea-Village  ,"26,000","12.6 (7.8, 19.8)"
2016,UHF34,309310,3,Union Square-Lower Manhattan,"44,000","20.7 (14.0, 29.5)"
2016,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,"23,000","15.1 (9.4, 23.4)"
2016,UHF34,501502,3,Northern SI,"21,000","14.6 (8.7, 23.5)"
2016,UHF34,503504,3,Southern SI,"36,000","16.7 (11.7, 23.4)"
2016,UHF34,105106107,3,South Bronx,"54,000","13.6 (10.2, 18.1)"
2016,Borough,1,1,Bronx,"145,000","13.7 (11.6, 16.1)"
2016,Borough,2,1,Brooklyn,"244,000","12.4 (10.9, 14.1)"
2016,Borough,3,1,Manhattan,"172,000","12.9 (10.6, 15.6)"
2016,Borough,4,1,Queens,"250,000","13.7 (11.8, 15.8)"
2016,Borough,5,1,Staten Island,"57,000","15.9 (11.9, 21.0)"
2016,Citywide,1,0,New York City,"867,000","13.3 (12.3, 14.3)"
2015,UHF34,101,3,Kingsbridge - Riverdale,"6,000*","8.4* (4.0, 17.0)"
2015,UHF34,102,3,Northeast Bronx,"16,000","11.1 (6.8, 17.6)"
2015,UHF34,103,3,Fordham - Bronx Pk,"20,000","11.0 (7.5, 16.0)"
2015,UHF34,104,3,Pelham - Throgs Neck,"38,000","16.4 (11.9, 22.3)"
2015,UHF34,201,3,Greenpoint,"24,000*","22.9* (12.3, 38.6)"
2015,UHF34,202,3,Downtown - Heights - Slope,"25,000","13.7 (8.6, 21.3)"
2015,UHF34,203,3,Bedford Stuyvesant - Crown Heights,"44,000","18.1 (13.7, 23.5)"
2015,UHF34,204,3,East New York,"17,000","12.5 (7.6, 19.9)"
2015,UHF34,205,3,Sunset Park,"15,000","15.2 (8.8, 25.1)"
2015,UHF34,206,3,Borough Park,"37,000","15.2 (10.9, 20.9)"
2015,UHF34,207,3,East Flatbush - Flatbush,"22,000","9.5 (6.3, 14.0)"
2015,UHF34,208,3,Canarsie - Flatlands,"13,000","8.4 (4.9, 14.0)"
2015,UHF34,209,3,Bensonhurst - Bay Ridge,"26,000","15.7 (9.7, 24.4)"
2015,UHF34,210,3,Coney Island - Sheepshead Bay,"44,000","18.8 (14.0, 24.9)"
2015,UHF34,211,3,Williamsburg - Bushwick,"29,000","18.7 (11.3, 29.2)"
2015,UHF34,301,3,Washington Heights,"25,000","12.2 (7.7, 18.8)"
2015,UHF34,302,3,Central Harlem - Morningside Heights,"16,000","13.5 (8.5, 20.8)"
2015,UHF34,303,3,East Harlem,"13,000","15.4 (10.1, 22.7)"
2015,UHF34,304,3,Upper West Side,"23,000","12.3 (6.8, 21.2)"
2015,UHF34,401,3,Long Island City - Astoria,"36,000","19.9 (11.9, 31.2)"
2015,UHF34,402,3,West Queens,"69,000","18.2 (13.9, 23.3)"
2015,UHF34,403,3,Flushing - Clearview,"25,000","11.2 (8.1, 15.4)"
2015,UHF34,405,3,Ridgewood - Forest Hills,"39,000","18.9 (13.0, 26.7)"
2015,UHF34,407,3,Southwest Queens,"28,000","13.0 (8.0, 20.4)"
2015,UHF34,408,3,Jamaica,"15,000","6.8 (4.0, 11.4)"
2015,UHF34,409,3,Southeast Queens,"16,000","10.1 (5.9, 16.6)"
2015,UHF34,410,3,Rockaways,"13,000","16.4 (9.3, 27.3)"
2015,UHF34,305307,3,Upper East Side-Gramercy,"29,000","9.4 (6.1, 14.1)"
2015,UHF34,306308,3,Chelsea-Village  ,"27,000","13.6 (8.5, 21.1)"
2015,UHF34,309310,3,Union Square-Lower Manhattan,"38,000","17.7 (11.7, 25.8)"
2015,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,"15,000","9.7 (5.8, 15.9)"
2015,UHF34,501502,3,Northern SI,"25,000","17.6 (11.7, 25.5)"
2015,UHF34,503504,3,Southern SI,"38,000","17.7 (12.1, 25.3)"
2015,UHF34,105106107,3,South Bronx,"66,000","16.7 (13.8, 20.2)"
2015,Borough,1,1,Bronx,"148,000","14.3 (12.4, 16.5)"
2015,Borough,2,1,Brooklyn,"297,000","15.1 (13.3, 17.1)"
2015,Borough,3,1,Manhattan,"171,000","12.9 (10.8, 15.3)"
2015,Borough,4,1,Queens,"255,000","14.1 (12.2, 16.2)"
2015,Borough,5,1,Staten Island,"64,000","17.6 (13.3, 22.9)"
2015,Citywide,1,0,New York City,"934,000","14.4 (13.4, 15.4)"
2014,UHF34,101,3,Kingsbridge - Riverdale,"6,000*","9.0* (4.0, 18.8)"
2014,UHF34,102,3,Northeast Bronx,"12,000","8.6 (5.1, 14.3)"
2014,UHF34,103,3,Fordham - Bronx Pk,"40,000","21.7 (15.4, 29.8)"
2014,UHF34,104,3,Pelham - Throgs Neck,"49,000","21.4 (15.2, 29.3)"
2014,UHF34,201,3,Greenpoint,"18,000*","17.7* (9.5, 30.7)"
